"code","uri","label_en","label_fr","definition_en","definition_fr"
"ABW",,"Aruba","Aruba","Aruba","Aruba"
"AFG",,"Afghanistan","Afghanistan (l')","the Islamic Republic of Afghanistan","la République islamique d'Afghanistan"
"AGO",,"Angola","Angola (l')","the Republic of Angola","la République d'Angola"
"AIA",,"Anguilla","Anguilla","Anguilla","Anguilla"
"ALA",,"Åland Islands (the)","Îles d'Åland (les)","the Åland Islands","les Îles d'Åland"
"ALB",,"Albania","Albanie (l')","the Republic of Albania","la République d'Albanie"
"AND",,"Andorra","Andorre (l')","the Principality of Andorra","la Principauté d'Andorre"
"ANT",,"Netherlands Antilles","Antilles néerlandaises","Netherlands Antilles","Antilles néerlandaises"
"ARE",,"United Arab Emirates (the)","Émirats arabes unis (les)","the United Arab Emirates","les Émirats arabes unis"
"ARG",,"Argentina","Argentine (l')","the Argentine Republic","la République argentine"
"ARM",,"Armenia","Arménie (l')","the Republic of Armenia","la République d'Arménie"
"ASM",,"American Samoa","Samoa américaines (les)","American Samoa","les Samoa américaines"
"ATA",,"Antarctica","Antarctique (l')","Antarctica","l'Antarctique"
"ATF",,"French Southern Territories (the)","Terres australes françaises (les)","the French Southern Territories","les Terres australes françaises"
"ATG",,"Antigua and Barbuda","Antigua-et-Barbuda","Antigua and Barbuda","Antigua-et-Barbuda"
"AUS",,"Australia","Australie (l')","Australia","l'Australie"
"AUT",,"Austria","Autriche (l')","the Republic of Austria","la République d'Autriche"
"AZE",,"Azerbaijan","Azerbaïdjan (l')","the Republic of Azerbaijan","la République d'Azerbaïdjan"
"BDI",,"Burundi","Burundi (le)","the Republic of Burundi","la République du Burundi"
"BEL",,"Belgium","Belgique (la)","the Kingdom of Belgium","le Royaume de Belgique"
"BEN",,"Benin","Bénin (le)","the Republic of Benin","la République du Bénin"
"BES",,"Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba"
"BFA",,"Burkina Faso","Burkina Faso (le)","Burkina Faso","le Burkina Faso"
"BGD",,"Bangladesh","Bangladesh (le)","the People's Republic of Bangladesh","la République populaire du Bangladesh"
"BGR",,"Bulgaria","Bulgarie (la)","the Republic of Bulgaria","la République de Bulgarie"
"BHR",,"Bahrain","Bahreïn","the Kingdom of Bahrain","le Royaume de Bahreïn"
"BHS",,"Bahamas (the)","Bahamas (les)","the Commonwealth of the Bahamas","le Commonwealth des Bahamas"
"BIH",,"Bosnia and Herzegovina","Bosnie-Herzégovine (la)","Bosnia and Herzegovina","la Bosnie-Herzégovine"
"BLM",,"Saint Barthélemy","Saint-Barthélemy","Saint Barthélemy","Saint-Barthélemy"
"BLR",,"Belarus","Bélarus (le)","the Republic of Belarus","la République du Bélarus"
"BLZ",,"Belize","Belize (le)","Belize","le Belize"
"BMU",,"Bermuda","Bermudes (les)","Bermuda","les Bermudes"
"BOL",,"Plurinational State of Bolivia (the)","État plurinational de Bolivie (l')","the Plurinational State of Bolivia","l'État plurinational de Bolivie"
"BRA",,"Brazil","Brésil (le)","the Federative Republic of Brazil","la République fédérative du Brésil"
"BRB",,"Barbados","Barbade (la)","Barbados","la Barbade"
"BRN",,"Brunei Darussalam","Brunéi Darussalam (le)","Brunei Darussalam","le Brunéi Darussalam"
"BTN",,"Bhutan","Bhoutan (le)","the Kingdom of Bhutan","le Royaume du Bhoutan"
"BVT",,"Bouvet Island","Île Bouvet (l')","Bouvet Island","l'Île Bouvet"
"BWA",,"Botswana","Botswana (le)","the Republic of Botswana","la République du Botswana"
"CAF",,"Central African Republic (the)","République centrafricaine (la)","the Central African Republic","la République centrafricaine"
"CAN",,"Canada","Canada (le)","Canada","le Canada"
"CCK",,"Cocos (Keeling) Islands (the)","Îles des Cocos (Keeling) (les)","the Cocos (Keeling) Islands","les Îles des Cocos (Keeling)"
"CHE",,"Switzerland","Suisse (la)","the Swiss Confederation","la Confédération suisse"
"CHL",,"Chile","Chili (le)","the Republic of Chile","la République du Chili"
"CHN",,"China","Chine (la)","the People's Republic of China","la République populaire de Chine"
"CIV",,"Côte d'Ivoire","Côte d'Ivoire (la)","the Republic of Côte d'Ivoire","la République de Côte d'Ivoire"
"CMR",,"Cameroon","Cameroun (le)","the Republic of Cameroon","la République du Cameroun"
"COD",,"Democratic Republic of the Congo (the)","République démocratique du Congo (la)","the Democratic Republic of the Congo","la République démocratique du Congo"
"COG",,"Congo (the)","Congo (le)","the Republic of the Congo","la République du Congo"
"COK",,"Cook Islands (the)","Îles Cook (les)","the Cook Islands","les Îles Cook"
"COL",,"Colombia","Colombie (la)","the Republic of Colombia","la République de Colombie"
"COM",,"Comoros (the)","Comores (les)","the Union of the Comoros","l'Union des Comores"
"CPV",,"Cabo Verde","Cabo Verde","the Republic of Cabo Verde","la République de Cabo Verde"
"CRI",,"Costa Rica","Costa Rica (le)","the Republic of Costa Rica","la République du Costa Rica"
"CUB",,"Cuba","Cuba","the Republic of Cuba","la République de Cuba"
"CUW",,"Curaçao","Curaçao","Curaçao","Curaçao"
"CXR",,"Christmas Island","Île Christmas (l')","Christmas Island","l'Île Christmas"
"CYM",,"Cayman Islands (the)","Îles Caïmanes (les)","the Cayman Islands","les Îles Caïmanes"
"CYP",,"Cyprus","Chypre","the Republic of Cyprus","la République de Chypre"
"CZE",,"Czechia","Tchéquie (la)","the Czech Republic","la République tchèque"
"DEU",,"Germany","Allemagne (l')","the Federal Republic of Germany","la République fédérale d'Allemagne"
"DJI",,"Djibouti","Djibouti","the Republic of Djibouti","la République de Djibouti"
"DMA",,"Dominica","Dominique (la)","the Commonwealth of Dominica","le Commonwealth de la Dominique"
"DNK",,"Denmark","Danemark (le)","the Kingdom of Denmark","le Royaume du Danemark"
"DOM",,"Dominican Republic (the)","République dominicaine (la)","the Dominican Republic","la République dominicaine"
"DZA",,"Algeria","Algérie (l')","the People's Democratic Republic of Algeria","la République algérienne démocratique et populaire"
"ECU",,"Ecuador","Équateur (l')","the Republic of Ecuador","la République de l'Équateur"
"EGY",,"Egypt","Égypte (l')","the Arab Republic of Egypt","la République arabe d'Égypte"
"ERI",,"Eritrea","Érythrée (l')","the State of Eritrea","l'État d'Érythrée"
"ESH",,"Western Sahara","Sahara occidental (le)","Western Sahara","le Sahara occidental"
"ESP",,"Spain","Espagne (l')","the Kingdom of Spain","le Royaume d'Espagne"
"EST",,"Estonia","Estonie (l')","the Republic of Estonia","la République d'Estonie"
"ETH",,"Ethiopia","Éthiopie (l')","the Federal Democratic Republic of Ethiopia","la République fédérale démocratique d'Éthiopie"
"EUR",,"European Union (the)","Union européenne (l')","the European Union","l'Union européenne"
"FIN",,"Finland","Finlande (la)","the Republic of Finland","la République de Finlande"
"FJI",,"Fiji","Fidji (les)","the Republic of Fiji","la République des Fidji"
"FLK",,"Falkland Islands (Malvinas) (the)","Îles Falkland (Malvinas) (les)","the Falkland Islands (Malvinas)","les Îles Falkland (Malvinas)"
"FRA",,"France","France (la)","the French Republic","la République française"
"FRO",,"Faroe Islands (the)","Îles Féroé (les)","the Faroe Islands","les Îles Féroé"
"FSM",,"Federated States of Micronesia (the)","États fédérés de Micronésie (les)","the Federated States of Micronesia","les États fédérés de Micronésie"
"GAB",,"Gabon","Gabon (le)","the Gabonese Republic","la République gabonaise"
"GBR",,"United Kingdom of Great Britain and Northern Ireland (the)","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord (le)","the United Kingdom of Great Britain and Northern Ireland","le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord"
"GEO",,"Georgia","Géorgie (la)","Georgia","la Géorgie"
"GGY",,"Guernsey","Guernesey","the Bailiwick of Guernsey","le Bailliage de Guernesey"
"GHA",,"Ghana","Ghana (le)","the Republic of Ghana","la République du Ghana"
