"code","uri","label_en","label_fr","cpc_code","flag_code"
"ANT",,"Netherlands Antilles","Antilles néerlandaises",,"ANT"
"ARE",,"United Arab Emirates","Émirats arabes unis",,"ARE"
"ATF",,"France (OT)","France (Territoires)","ATF","ATF"
"AUS",,"Australia","Australie","AUS","AUS"
"BGD",,"Bangladesh","Bangladesh","BGD","BGD"
"BHR",,"Bahrain","Bahreïn",,"BHR"
"BHS",,"Bahamas","Bahamas",,"BHS"
"BLZ",,"Belize","Belize",,"BLZ"
"BOL",,"Bolivia (Plurinational State of)","Bolivie (État plurinational de)",,"BOL"
"CAN",,"Canada","Canada",,"CAN"
"CHN",,"China","Chine","CHN","CHN"
"COK",,"Cook Islands","Îles Cook",,"COK"
"COM",,"Comoros","Comores","COM","COM"
"DJI",,"Djibouti","Djibouti",,"DJI"
"EGY",,"Egypt","Égypte",,"EGY"
"ERI",,"Eritrea","Érythrée",,"ERI"
"EUR.BEL",,"EU (Belgium)","UE (Belgique)","EUR","BEL"
"EUR.BGR",,"EU (Bulgaria)","UE (Bulgarie)","EUR","BGR"
"EUR.CYP",,"EU (Cyprus)","UE (Chypre)","EUR","CYP"
"EUR.DEU",,"EU (Germany)","UE (Allemagne)","EUR","DEU"
"EUR.ESP",,"EU (Spain)","UE (Espagne)","EUR","ESP"
"EUR.FRA",,"EU (France)","UE (France)","EUR","FRA"
"EUR.GBR",,"EU (Great Britain)","UE (Royaume-Uni)","EUR","GBR"
"EUR.ITA",,"EU (Italy)","UE (Italie)","EUR","ITA"
"EUR.LTU",,"EU (Lithuania)","UE (Lituanie)","EUR","LTU"
"EUR.MYT",,"EU (France, Mayotte)","UE (France, Mayotte)","EUR","MYT"
"EUR.NLD",,"EU (Netherlands)","UE (Pays-Bas)","EUR","NLD"
"EUR.PRT",,"EU (Portugal)","UE (Portugal)","EUR","PRT"
"EUR.REU",,"EU (France, Réunion)","UE (France, Réunion)","EUR","REU"
"FJI",,"Fiji","Fidji",,"FJI"
"FRO",,"Faroe Islands","Îles Féroé",,"FRO"
"GBR",,"United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","GBR","GBR"
"GBRT",,"United Kingdom of Great Britain and Northern Ireland (BIOT)","Royaume-Uni de Grande-Bretagne et d’Irlande (Territoires)",,"IOT"
"GEO",,"Georgia","Géorgie",,"GEO"
"GHA",,"Ghana","Ghana",,"GHA"
"GIN",,"Guinea","Guinée",,"GIN"
"GUY",,"Guyana","Guyana",,"GUY"
"HND",,"Honduras","Honduras",,"HND"
"IDN",,"Indonesia","Indonésie","IDN","IDN"
"IND",,"India","Inde","IND","IND"
"IRN",,"Iran (Islamic Republic of)","Iran (République islamique d')","IRN","IRN"
"ISR",,"Israel","Israël",,"ISR"
"JOR",,"Jordan","Jordanie",,"JOR"
"JPN",,"Japan","Japon","JPN","JPN"
"KEN",,"Kenya","Kenya","KEN","KEN"
"KHM",,"Cambodia","Cambodge",,"KHM"
"KIR",,"Kiribati","Kiribati",,"KIR"
"KNA",,"Saint Kitts and Nevis","Saint-Kitts-et-Nevis",,"KNA"
"KOR",,"Republic of Korea","République de Corée","KOR","KOR"
"KWT",,"Kuwait","Koweït",,"KWT"
"LBR",,"Liberia","Libéria","LBR","LBR"
"LKA",,"Sri Lanka","Sri Lanka","LKA","LKA"
"MDG",,"Madagascar","Madagascar","MDG","MDG"
"MDV",,"Maldives","Maldives","MDV","MDV"
"MHL",,"Marshall Islands","Îles Marshall",,"MHL"
"MMR",,"Myanmar","Myanmar",,"MMR"
"MNG",,"Mongolia","Mongolie",,"MNG"
"MOZ",,"Mozambique","Mozambique","MOZ","MOZ"
