"code","uri","label_en","label_fr"
"DL",,"Discarded - too difficult to land","Rejeté - trop difficile d'embarquer"
"DM",,"Discarded - depredated by mammals","Rejeté - déprédation par des mammifères marins"
"DS",,"Discarded - depredated by sharks","Rejeté - déprédation par des requins"
"ES",,"Escaped","Échappé"
"FL",,"Discarded - vessel fully loaded","Rejeté - navire entiérement chargé"
"FR",,"Discarded - trunk discarded, fins retained (shark only)","Rejeté - carcasse rejeté - ailerons conservés à bord"
"PQ",,"Discarded - unfit for human consumption","Rejeté - impropres à la consommation humaine"
"RB",,"Discarded - retention ban on the species (flag state measures)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de l'État du pavillon)"
"TR",,"Discarded - trunk retained, fins discarded (shark only)","Ailerons jetés - tronc conservé (requin seulement)"
"TS",,"Discarded - too small. Fish of no commercial value due to being of small size","Rejeté - trop petit. Poisson sans valeur commerciale en raison de sa petite taille"
"UD",,"Discarded - retention ban on the species (IOTC)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de la CTOI)"
"UN",,"Discarded - unspecified reason","Rejeté - raison inconnue"
"US",,"Discarded - unwanted species (e.g. with no commercial value or other than target species)","Rejeté - espèces indésirables (par exemple sans valeur commerciale ou autres que les espèces cibles)"
