"code","uri","label_en","label_fr"
"CA",,"Calliper","Pied à coulisse"
"FT",,"Flexible tape","Mètre à ruban"
"LW",,"Length-weight relationship","Relation longueur-poids"
"MB",,"Measuring board","Planche à mesurer"
"UN",,"Unknown","Inconnu"
"VL",,"Visual length","Longueur estimée visuellement"
"BR",,"Brail","Salabarde"
"CA",,"Calculation","Calcul"
"EB",,"Electronic balance","Balance électronique"
"LO",,"Vessel logbook (eye measurement crew)","Journal de bord du navire (mesure oculaire équipage)"
"LW",,"Length-weight relationship","Relation longueur-poids"
"MS",,"Mechanical scale","Balance mécanique"
"SB",,"Spring balance","Peson"
"UN",,"Unknown","Inconnu"
"VW",,"Visual weight","Poids estimé visuellement"
