"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"ABL",,"Attentive carplet",,"Amblypharyngodon melettinus","OTHERS","OTHERS","Cyprinidae","Cypriniformes",0,0,0,0,1
"AG00",,"Unknown","Espèces non ciblées, associées et dépendantes",,"OTHERS","OTHERS",,,0,1,0,1,
"AG01",,"Black marlin and striped marlin","Marlin noir et marlin rayé","Makaira nigricans; Tetrapturus audax","BILLFISH","BILLFISH",,,1,1,0,1,0
"AG02",,"Indo-Pacific sailfish and shortbill spearfish","Voilier indo-pacifique et makaire à rostre court","Istiophorus platypterus; Tetrapturus angustirostris","BILLFISH","BILLFISH",,,1,1,0,1,0
"AG06",,"Kawakawa, frigate and bullet tunas","Thonine orientale, auxide et bonitou ","Euthynnus affinis; Auxis spp","TUNAS","NERITIC",,,1,1,0,1,0
"AG07",,"Longtail tuna and kawakawa","Thon mignon et thonine orientale","Thunnus tonggol; Euthynnus affinis","TUNAS","NERITIC",,,1,1,0,1,0
"AG09",,"Wahoo and seerfishes nei","Thazards nca",,"SEERFISH","OTHERS",,,1,1,0,1,
"AG10",,"Skipjack tuna and kawakawa","Listao et thonine orientale","Katsuwonus pelamis; Euthynnus affinis","TUNAS","TUNAS_NEI",,,1,1,0,1,0
"AG21",,"Sharks nei other than oceanic whitetip shark and blue shark","Espèces de requins autres que le requin océanique et le requin peau bleue","Selachimorpha (Pleurotremata); needs update","ELASMOBRANCHS","SHARKS",,,0,1,0,1,0
"AG27",,"Non-IOTC species","Poissons marins nca",,"OTHERS","OTHERS",,,0,1,0,1,
"AG35",,"Yellowfin tuna and skipjack tuna","Albacore et listao","Thunnus albacares; Katsuwonus pelamis","TUNAS","TROPICAL",,,1,1,0,1,0
"AG38",,"Blue shark, shortfin mako, oceanic whitetip shark","Requin peau bleue, requin-taupe bleu et requin océanique","Prionace glauca; Isurus oxyrinchus; Carcharhinus longimanus","ELASMOBRANCHS","SHARKS",,,0,1,0,1,0
"AG39",,"Yellowfin tuna; bigeye tuna; albacore; swordfish; marlins nei","Albacore, listao, patudo, germon, espadon, makaires nca",,"TUNAS","OTHERS",,,1,1,0,1,
"AG40",,"Albacore, frigate tuna and bullet tuna","Germon, Auxide et bonitou",,"TUNAS","OTHERS",,,1,1,0,1,
"AG45",,"Albacore, yellowfin tuna and bigeye tuna","Germon; Albacore; Patudo; Thon obèse",,"TUNAS","OTHERS",,,1,1,0,1,
"AG47",,"Common dolphinfish and rainbow runner","Coryphène commune et comète saumon","Elagatis bipinnulata, Coryphaena hippurus","OTHERS","OTHERS",,,0,1,0,1,0
"AGN",,"Angelshark","Ange de mer commun","Squatina squatina","ELASMOBRANCHS","SHARKS","Squatinidae","Squatiniformes",0,1,0,0,1
"AG_CETACEANS",,"Cetaceans nei","Cétacés nca",,"OTHERS","CETACEANS",,,0,0,1,1,0
"AG_SEABIRDS",,"Seabirds nei","Oiseaux de mer nca",,"OTHERS","SEABIRDS",,,0,0,1,1,0
