"code","uri","label_en","label_fr"
"BILLFISH",,"Billfish species","Espèces de porte-épées"
"CETACEANS",,"Cetacean species","Espèces de cétacés"
"NERITIC",,"Neritic tuna species","Espèces de thons néritiques"
"OTHERS",,"Other species NEI","Toutes les autres espèces NCA"
"RAYS",,"Ray species","Espèces de raies"
"SEABIRDS",,"Seabird species","Espèces d'oiseaux marins"
"SEERFISH",,"Seerfish species","Espèces de thazards"
"SHARKS",,"Shark species","Espèces de requins"
"TEMPERATE",,"Temperate tuna species","Espèces de thons tempérés"
"TROPICAL",,"Tropical tuna species","Espèces de thons tropicaux"
"TUNAS_NEI",,"Tuna species NEI","Espèces de thons NCA"
"TURTLES",,"Marine turtle species","Espèces de tortues marines"
