"code","uri","dataset_code","label_en","label_fr","definition_en","definition_fr"
"BR",,"CE","Proportional allocation","Répartition proportionnelle","CE data not available by month and IOTC grid; catches and effort allocated proportionally by month and grid","Prises et efforts non disponibles par mois et grille; répartition proportionnelle des prises et efforts"
"EP",,"CE","Effort estimated from CPUE","Effort estimé via PUE","Efforts not available; estimated by dividing total catches in stratum by CPUE in proxy strata","Prises et efforts non disponibles; estimés par division des captures totales dans la strate par la PUE des strates similaires"
"ES",,"CE","Survey-based catch estimate","Estimation des captures par enquête","Catches estimated by multiplying average CPUE values from sample survey at landing place by total known effort in each time-area stratum","Captures estimées en multipliant les valeurs moyennes de PUE obtenues par échantillonnage (site de débarquement) par l’effort total connu pour chaque strate"
"LS",,"CE","Size-adjusted CE","Ajustement par taille","CE by species adjusted using size samples available per trip or alternative strata","Prises et efforts par espèces ajustés à partir des échantillons de tailles disponibles pour chaque marée ou strates alternatives"
"NO",,"CE","Not estimated","Non estimé","CE not estimated; reported data not verified by government staff","Prises et efforts non estimés (données déclarées non vérifiées par des fonctionnaires)"
"SB",,"CE","Substitution scheme","Substitution","CE not available for stratum; estimated using data from neighboring strata","Prises et efforts non disponibles pour la strate; estimés à partir des strates voisines"
"SP",,"CE","Species proportional allocation","Répartition par espèce","CE not available by species; proportional allocation by species","Prises et efforts non disponibles par espèce; répartition proportionnelle par espèce"
"SS",,"CE","Survey-based stratum estimate","Estimation par enquête et effort","Catches estimated by multiplying average CPUE from sample survey by total estimated effort in each stratum","Prises et efforts estimés en multipliant les PUE moyennes obtenues par échantillonnage par l’effort total estimé pour chaque strate"
"TE",,"CE","Total enumeration","Énumération totale","No estimation required; CE monitored/verified by government staff","Prises et efforts suivis/vérifiés par des fonctionnaires (pas d’estimation requise)"
"UN",,"CE","Unknown","Inconnu","Unknown","Inconnu"
"ES",,"DI","Survey-based discard estimate","Estimation des rejets par enquête","Discards estimated by multiplying average DPUE from at-sea sample survey by total known effort in each time-area stratum","Rejets estimés en multipliant les valeurs moyennes de RUE obtenues par échantillonnage en mer par l’effort total connu pour chaque strate"
"LG",,"DI","Logbook-based estimate","Estimation à partir du journal de bord","Discards estimated by multiplying average DPUE from reported (not verified) data by total known effort in each time-area stratum","Rejets estimés à partir des données déclarées (non vérifiées) par multiplication des valeurs moyennes de RUE par l’effort total connu pour chaque strate"
"LS",,"DI","Logbook + stratum estimate","Estimation journal + strates","Discards estimated by multiplying average DPUE from reported data by total estimated effort in stratum","Rejets estimés à partir des données déclarées (non vérifiées) par multiplication des valeurs moyennes de RUE par l’effort total estimé pour chaque strate"
"NO",,"DI","Not estimated","Non estimé","Reported discards not verified by government staff","Rejets non estimés (données déclarées non vérifiées)"
"SB",,"DI","Substitution scheme","Substitution","Discards not available; estimated using data from other years","Rejets non disponibles; estimés à partir des données d’autres années"
"SS",,"DI","Survey-based stratum estimate","Estimation par enquête et effort","Discards estimated by multiplying average DPUE from sample survey by total estimated effort in stratum","Rejets estimés en multipliant les valeurs moyennes de RUE par l’effort total estimé pour chaque strate"
"TE",,"DI","Total enumeration","Énumération totale","No estimation required; discards monitored/verified by observers","Rejets suivis/vérifiés par des observateurs (pas d’estimation requise)"
"UN",,"DI","Unknown","Inconnu","Unknown","Inconnu"
"BR",,"FA","Proportional allocation","Répartition proportionnelle","CE data not available by month and IOTC grid; catches and effort allocated proportionally by month and grid","Prises et efforts non disponibles par mois et grille; répartition proportionnelle des prises et efforts"
"EP",,"FA","Effort estimated from CPUE","Effort estimé via PUE","Efforts not available; estimated by dividing total catches in stratum by CPUE in proxy strata","Prises et efforts non disponibles; estimés par division des captures totales par PUE des strates similaires"
"ES",,"FA","Survey-based catch estimate","Estimation des captures par enquête","Catches estimated by multiplying average CPUE from sample survey at landing place by total known effort in stratum","Captures estimées en multipliant les valeurs moyennes de PUE obtenues par échantillonnage (site de débarquement) par l’effort total connu"
"LS",,"FA","Size-adjusted CE","Ajustement par taille","CE by species adjusted using size samples available per trip or alternative strata","Prises et efforts par espèces ajustés à partir des échantillons de tailles disponibles"
"NO",,"FA","Not estimated","Non estimé","CE not estimated; reported data not verified by government staff","Prises et efforts non estimés (données déclarées non vérifiées)"
"SB",,"FA","Substitution scheme","Substitution","CE not available for stratum; estimated using neighboring strata","Prises et efforts non disponibles pour la strate; estimés à partir des strates voisines"
"SP",,"FA","Species proportional allocation","Répartition par espèce","CE not available by species; proportional allocation by species","Prises et efforts non disponibles par espèce; répartition proportionnelle"
