"country_code","country_name_en","country_name_fr","currency_code","currency_name_en","currency_name_fr"
"ABW","Aruba","Aruba","AWG","Aruban Florin","florin arubais"
"AFG","Afghanistan","Afghanistan (l')","AFN","Afghani","afghani"
"AGO","Angola","Angola (l')","AOA","Kwanza","kwanza"
"AIA","Anguilla","Anguilla","XCD","East Caribbean Dollar","dollar des Caraïbes orientales"
"ALA","Åland Islands (the)","Îles d'Åland (les)","EUR","Euro","euro"
"ALB","Albania","Albanie (l')","ALL","Lek","lek"
"AND","Andorra","Andorre (l')","EUR","Euro","euro"
"ARE","United Arab Emirates (the)","Émirats arabes unis (les)","AED","UAE Dirham","dirham des Émirats arabes unis"
"ARG","Argentina","Argentine (l')","ARS","Argentine Peso","peso argentin"
"ARM","Armenia","Arménie (l')","AMD","Armenian Dram","dram arménien"
"ASM","American Samoa","Samoa américaines (les)","USD","US Dollar","dollar américain"
"ATA","Antarctica","Antarctique (l')","NON",NA,NA
"ATF","French Southern Territories (the)","Terres australes françaises (les)","EUR","Euro","euro"
"ATG","Antigua and Barbuda","Antigua-et-Barbuda","XCD","East Caribbean Dollar","dollar des Caraïbes orientales"
"AUS","Australia","Australie (l')","AUD","Australian Dollar","dollar australien"
"AUT","Austria","Autriche (l')","EUR","Euro","euro"
"AZE","Azerbaijan","Azerbaïdjan (l')","AZN","Azerbaijanian Manat","manat azerbaïdjanais"
"BDI","Burundi","Burundi (le)","BIF","Burundi Franc","franc burundais"
"BEL","Belgium","Belgique (la)","EUR","Euro","euro"
"BEN","Benin","Bénin (le)","XOF","CFA Franc BCEAO","franc CFA BCEAO"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","USD","US Dollar","dollar américain"
"BFA","Burkina Faso","Burkina Faso (le)","XOF","CFA Franc BCEAO","franc CFA BCEAO"
"BGD","Bangladesh","Bangladesh (le)","BDT","Taka","taka"
"BGR","Bulgaria","Bulgarie (la)","BGN","Bulgarian Lev","lev bulgare"
"BHR","Bahrain","Bahreïn","BHD","Bahraini Dinar","dinar bahreïnien"
"BHS","Bahamas (the)","Bahamas (les)","BSD","Bahamian Dollar","dollar bahaméen"
"BIH","Bosnia and Herzegovina","Bosnie-Herzégovine (la)","BAM","Convertible Mark","mark convertible"
"BLM","Saint Barthélemy","Saint-Barthélemy","EUR","Euro","euro"
"BLR","Belarus","Bélarus (le)","BYR","Belarussian Ruble","rouble biélorusse"
"BLZ","Belize","Belize (le)","BZD","Belize Dollar","dollar bélizien"
"BMU","Bermuda","Bermudes (les)","BMD","Bermudian Dollar","dollar bermudien"
"BOL","Plurinational State of Bolivia (the)","État plurinational de Bolivie (l')","BOB","Boliviano","boliviano"
"BOL","Plurinational State of Bolivia (the)","État plurinational de Bolivie (l')","BOV","Mvdol","mvdol"
"BRA","Brazil","Brésil (le)","BRL","Brazilian Real","réal brésilien"
"BRB","Barbados","Barbade (la)","BBD","Barbados Dollar","dollar barbadien"
"BRN","Brunei Darussalam","Brunéi Darussalam (le)","BND","Brunei Dollar","dollar de Brunei"
"BTN","Bhutan","Bhoutan (le)","BTN","Ngultrum","ngultrum"
"BTN","Bhutan","Bhoutan (le)","INR","Indian Rupee","roupie indienne"
"BVT","Bouvet Island","Île Bouvet (l')","NOK","Norwegian Krone","couronne norvégienne"
"BWA","Botswana","Botswana (le)","BWP","Pula","pula"
"CAF","Central African Republic (the)","République centrafricaine (la)","XAF","CFA Franc BEAC","franc CFA BEAC"
"CAN","Canada","Canada (le)","CAD","Canadian Dollar","dollar canadien"
"CCK","Cocos (Keeling) Islands (the)","Îles des Cocos (Keeling) (les)","AUD","Australian Dollar","dollar australien"
"CHE","Switzerland","Suisse (la)","CHE","WIR Euro","WIR euro"
"CHE","Switzerland","Suisse (la)","CHF","Swiss Franc","franc suisse"
"CHE","Switzerland","Suisse (la)","CHW","WIR Franc","WIR franc"
"CHL","Chile","Chili (le)","CLF","Unidad de Fomento","unité de compte chilienne"
"CHL","Chile","Chili (le)","CLP","Chilean Peso","peso chilien"
"CHN","China","Chine (la)","CNY","Yuan Renminbi","yuan renminbi"
"CIV","Côte d'Ivoire","Côte d'Ivoire (la)","XOF","CFA Franc BCEAO","franc CFA BCEAO"
"CMR","Cameroon","Cameroun (le)","XAF","CFA Franc BEAC","franc CFA BEAC"
"COD","Democratic Republic of the Congo (the)","République démocratique du Congo (la)","CDF","Congolese Franc","franc congolais"
"COG","Congo (the)","Congo (le)","XAF","CFA Franc BEAC","franc CFA BEAC"
"COK","Cook Islands (the)","Îles Cook (les)","NZD","New Zealand Dollar","dollar néo-zélandais"
"COL","Colombia","Colombie (la)","COP","Colombian Peso","peso colombien"
"COL","Colombia","Colombie (la)","COU","Unidad de Valor Real","unité de valeur réelle"
"COM","Comoros (the)","Comores (les)","KMF","Comoro Franc","franc comorien"
"CPV","Cabo Verde","Cabo Verde","CVE","Cabo Verde Escudo","escudo du Cap-Vert"
"CRI","Costa Rica","Costa Rica (le)","CRC","Costa Rican Colon","colón costaricien"
"CUB","Cuba","Cuba","CUC","Peso Convertible","peso convertible cubain"
"CUB","Cuba","Cuba","CUP","Cuban Peso","peso cubain"
"CUW","Curaçao","Curaçao","ANG","Netherlands Antillean Guilder","florin des Antilles néerlandaises"
"CXR","Christmas Island","Île Christmas (l')","AUD","Australian Dollar","dollar australien"
"CYM","Cayman Islands (the)","Îles Caïmanes (les)","KYD","Cayman Islands Dollar","dollar des îles Caïmans"
"CYP","Cyprus","Chypre","EUR","Euro","euro"
"CZE","Czechia","Tchéquie (la)","CZK","Czech Koruna","couronne tchèque"
"DEU","Germany","Allemagne (l')","EUR","Euro","euro"
"DJI","Djibouti","Djibouti","DJF","Djibouti Franc","franc djiboutien"
"DMA","Dominica","Dominique (la)","XCD","East Caribbean Dollar","dollar des Caraïbes orientales"
"DNK","Denmark","Danemark (le)","DKK","Danish Krone","couronne danoise"
"DOM","Dominican Republic (the)","République dominicaine (la)","DOP","Dominican Peso","peso dominicain"
"DZA","Algeria","Algérie (l')","DZD","Algerian Dinar","dinar algérien"
"ECU","Ecuador","Équateur (l')","USD","US Dollar","dollar américain"
"EGY","Egypt","Égypte (l')","EGP","Egyptian Pound","livre égyptienne"
"ERI","Eritrea","Érythrée (l')","ERN","Nakfa","nakfa"
"ESH","Western Sahara","Sahara occidental (le)","MAD","Moroccan Dirham","dirham marocain"
"ESP","Spain","Espagne (l')","EUR","Euro","euro"
"EST","Estonia","Estonie (l')","EUR","Euro","euro"
"ETH","Ethiopia","Éthiopie (l')","ETB","Ethiopian Birr","birr éthiopien"
"FIN","Finland","Finlande (la)","EUR","Euro","euro"
"FJI","Fiji","Fidji (les)","FJD","Fiji Dollar","dollar fidjien"
"FLK","Falkland Islands (Malvinas) (the)","Îles Falkland (Malvinas) (les)","FKP","Falkland Islands Pound","livre des Malouines"
"FRA","France","France (la)","EUR","Euro","euro"
"FRO","Faroe Islands (the)","Îles Féroé (les)","DKK","Danish Krone","couronne danoise"
"FSM","Federated States of Micronesia (the)","États fédérés de Micronésie (les)","USD","US Dollar","dollar américain"
"GAB","Gabon","Gabon (le)","XAF","CFA Franc BEAC","franc CFA BEAC"
"GBR","United Kingdom of Great Britain and Northern Ireland (the)","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord (le)","GBP","Pound Sterling","livre sterling"
"GEO","Georgia","Géorgie (la)","GEL","Lari","lari"
"GGY","Guernsey","Guernesey","GBP","Pound Sterling","livre sterling"
"GHA","Ghana","Ghana (le)","GHS","Ghana Cedi","cedi ghanéen"
"GIB","Gibraltar","Gibraltar","GIP","Gibraltar Pound","livre de Gibraltar"
"GIN","Guinea","Guinée (la)","GNF","Guinea Franc","franc guinéen"
"GLP","Guadeloupe","Guadeloupe","EUR","Euro","euro"
"GMB","Gambia (the)","Gambie (la)","GMD","Dalasi","dalasi"
"GNB","Guinea-Bissau","Guinée-Bissau (la)","XOF","CFA Franc BCEAO","franc CFA BCEAO"
"GNQ","Equatorial Guinea","Guinée équatoriale (la)","XAF","CFA Franc BEAC","franc CFA BEAC"
"GRC","Greece","Grèce (la)","EUR","Euro","euro"
"GRD","Grenada","Grenade (la)","XCD","East Caribbean Dollar","dollar des Caraïbes orientales"
"GRL","Greenland","Groenland","DKK","Danish Krone","couronne danoise"
"GTM","Guatemala","Guatemala (le)","GTQ","Quetzal","quetzal"
"GUF","French Guiana","Guyane française (la)","EUR","Euro","euro"
"GUM","Guam","Guam","USD","US Dollar","dollar américain"
"GUY","Guyana","Guyana (le)","GYD","Guyana Dollar","dollar guyanais"
"HKG","China, Hong Kong SAR","Chine - RAS de Hong-Kong","HKD","Hong Kong Dollar","dollar de Hong Kong"
"HMD","Heard Island and McDonald Islands","Île Heard (l') et Îles McDonald (et les)","AUD","Australian Dollar","dollar australien"
"HND","Honduras","Honduras (le)","HNL","Lempira","lempira"
"HRV","Croatia","Croatie (la)","HRK","Kuna","kuna"
"HTI","Haiti","Haïti","HTG","Gourde","gourde"
"HTI","Haiti","Haïti","USD","US Dollar","dollar américain"
"HUN","Hungary","Hongrie (la)","HUF","Forint","forint"
"IDN","Indonesia","Indonésie (l')","IDR","Rupiah","roupie indonésienne"
"IMN","Isle of Man (the)","Île de Man (l')","GBP","Pound Sterling","livre sterling"
"IND","India","Inde (l')","INR","Indian Rupee","roupie indienne"
"IOT","British Indian Ocean Territory (the)","Territoire britannique de l'océan Indien (le)","USD","US Dollar","dollar américain"
"IRL","Ireland","Irlande (l')","EUR","Euro","euro"
"IRN","Islamic Republic of Iran (the)","République islamique d'Iran (la)","IRR","Iranian Rial","rial iranien"
"IRQ","Iraq","Iraq (l')","IQD","Iraqi Dinar","dinar irakien"
"ISL","Iceland","Islande (l')","ISK","Iceland Krona","couronne islandaise"
"ISR","Israel","Israël","ILS","New Israeli Sheqel","nouveau shekel israélien"
"ITA","Italy","Italie (l')","EUR","Euro","euro"
"JAM","Jamaica","Jamaïque (la)","JMD","Jamaican Dollar","dollar jamaïcain"
"JEY","Jersey","Jersey","GBP","Pound Sterling","livre sterling"
"JOR","Jordan","Jordanie (la)","JOD","Jordanian Dinar","dinar jordanien"
"JPN","Japan","Japon (le)","JPY","Yen","yen"
"KAZ","Kazakhstan","Kazakhstan (le)","KZT","Tenge","tenge"
