"code","uri","label_en","label_fr"
"CA",,"Canned fish","Poisson en conserve"
"DR",,"Dried fish","Poisson séché"
"FB",,"Frozen fish","Poisson congelé"
"FF",,"Fish fillets","Poisson en filets"
"FM",,"Fish meal","Farine de poisson"
"FO",,"Fish oil","Huile de poisson"
"FR",,"Fresh fish","Poisson frais"
"NS",,"Not specified","Non spécifié"
"PC",,"Precooked fish","Poisson précuit"
"RE",,"Fish roe (fish eggs)","Rogue de poisson"
"SA",,"Sashimi","Sashimi"
"SF",,"Shark fins","Ailerons de requin"
"SH",,"Sashimi high quality","Sashimi de qualité supérieure"
"SK",,"Smoked fish","Poisson fumé"
"SL",,"Sashimi low quality","Sashimi de qualité inférieure"
"ST",,"Salted fish","Poisson salé"
"UN",,"Unknown","Inconnu"
