"code","uri","label_en","label_fr"
"BO",,"Number of boats","Nombre de bateaux"
"DS",,"Number of days at sea","Nombre de jours en mer"
"FD",,"Number of fishing days","Nombre de jours de pêche"
"FH",,"Number of fishing hours","Nombre d'heures de pêche"
"HA",,"Number of hauls","Nombre de virages"
"HK",,"Number of hooks","Nombre d'hameçons"
"LH",,"Line-hours","Nombre d’heures de pêche accumulées pour les lignes déployées"
"MD",,"Men-days","Nombre de jours de pêche accumulés pour l'équipage"
"MH",,"Man-hours","Nombre d'heures de pêche accumulées pour l'équipage"
"NE",,"Number of fishing events","Nombre d'événements de pêche"
"NG",,"Number of active gears","Nombre d'engins de pêche actifs"
"NP",,"Number of lines (poles)","Nombre de cannes"
"NS",,"Number of sets","Nombre d'opérations de pêche"
"NT",,"Net-days","Nombre de jours de pêche accumulés pour les filets déployés"
"PS",,"Number of positive sets","Nombres d'opérations de pêche réussies"
"SD",,"Number of searching days","Nombre de jours d'exploration"
"SH",,"Number of hours at sea","Nombre d'heures en mer"
"SR",,"Number of hours searching","Nombre d'heures d'exploration"
"SS",,"Number of null (skunk) sets","Nombre d'opérations de pêche manquées"
"ST",,"Number of hours fishing standardized","Nombre d'heures de pêche (standardisé)"
"TR",,"Number of trips","Nombre de marées"
