"code","uri","label_en","label_fr"
"BR",NA,"Braided line (kuralon-braided nylon)","Ligne tressée (kuralon-nylon tressé)"
"CR",NA,"Monofilament cremona","Monofilament cremona"
"DY",NA,"Monofilament dyneema","Monofilament dyneema "
"GW",NA,"Galvanized wire (mat)","Câble galvanisé (mat)"
"KE",NA,"Monofilament kevlar","Monofilament kevlar"
"MC",NA,"Multifilament cremona","Multifilament cremona"
"MD",NA,"Multifilament dyneema","Multifilament dyneema"
"MK",NA,"Multifilament kevlar","Multifilament kevlar"
"MN",NA,"Multifilament nylon","Multifilament nylon"
"MT",NA,"Multifilament tetoron","Multifilament tetoron"
"NL",NA,"Monofilament nylon","Monofilament nylon"
"SK",NA,"Sekiyama wire","Fil Sekiyama"
"ST",NA,"Stainless steel wire (bright)","Câble en acier inoxydable (brillant)"
"TE",NA,"Monofilament tetoron","Monofilament tetoron"
"TR",NA,"3 strand tarred rope (red or black)","Cordage goudronné à 3 torons (rouge ou noir)"
