"code","uri","label_en","label_fr"
"AFRN",,"Asian fiberglass ringnetter","Bateau en fibre de verre utilisant un lampara"
"BARQ",,"Barque (Réunion, Comoros)","Barque (Réunion, Comores)"
"DHOW",,"Arabian Dhow","Dhow arabe"
"DLIN",,"Australian drop liner","Drop liner australien"
"LAUN",,"Launch","Chaloupe"
"LLAF",,"Asian-type fiberglass tuna longliner","Palangrier en polyester de type asiatique"
"LLAS",,"Asian-type steel tuna longliner","Palangrier en acier de type asiatique "
"LLAW",,"Asian-type wooden tuna longliner","Palangrier en bois de type asiatique"
"LLES",,"European-type steel swordfish longliner","Palangrier en acier de type européen"
"MASD",,"Maldivian Masdhoani","Masdhoani maldivien"
"MLIN",,"Australian minor liner","Petit ligneur australien"
"MULT",,"Fiberglass multipurpose","Bateau polyvalent en polyester"
"OCAN",,"Outrigger-Canoe (Madagascar)","Tangon-canoë (Madagascar)"
"PIRG",,"Pirogue","Pirogue"
"PLAW",,"Asian-type wooden baitboat","Canneur en bois de type asiatique"
"PLES",,"European-type steel baitboat","Canneur en acier de type européen"
"PSAS",,"Asian-type industrial purse seiner","Senneur industriel de type asiatique"
"PSEU",,"European-type industrial purse seiner","Senneur industriel de type européen"
"PSFG",,"Fiberglass coastal purse seiner (small pelagics)","Senneur côtier en polyester (petits pélagiques)"
"PSUS",,"American-type industrial purse seiner","Senneur industriel de type américain"
"PSWD",,"Wooden coastal purse seiner (small pelagics)","Senneur côtier en bois (petits pélagiques)"
"RWBO",,"Rowboat","Bateau à rames"
"SCHO",,"Seychelles schooner","Schooner seychellois"
"SHAS",,"Yemeni shasha","Shasha yéménite"
"SPOR",,"Sport boat","Bateau sportif"
"SUPP",,"Support vessel assisting industrial purse seiners","Navire auxiliaire en appui aux senneurs industriels"
"TRSF",,"Fiberglass stern trawler","Chalutier pêche arrière en polyester"
"TRSS",,"Steel stern trawler","Chalutier pêche arrière en acier"
"TRSW",,"Wooden stern trawler","Chalutier pêche arrière en bois"
"UNKN",,"Unknown","Inconnu"
"VADH",,"Maldivian vadhu","Vadhu maldivien"
"VEDT",,"Vedette (Réunion, Comoros)","Vedette (Réunion, Comores)"
"WHAL",,"Seychelles whaler","Whaler seychellois"
"WOMU",,"Wooden multipurpose","Bateau polyvalent en bois"
