"code","uri","label_en","label_fr"
"BARQ",,"Barque (Reunion, Comoros)","Barque (Réunion, Comores)"
"DHOW",,"Arabian Dhow","Dhow arabe"
"DLIN",,"Australian drop liner","Drop liner australien"
"LAUN",,"Launch","Chaloupe"
"LLAF",,"Asian type fiberglass tuna longliner","Palangrier en polyester type asiatique"
"LLAS",,"Asian type steel tuna longliner","Palangrier en acier type asiatique "
"LLAW",,"Asian type wooden tuna longliner","Palangrier en bois type asiatique"
"LLES",,"European type steel swordfish longliner","Palangrier en acier type européen"
"MASD",,"Maldivian Masdhoani","Masdhoani maldivien"
"MLIN",,"Australian minor liner","Minor liner australien"
"MULT",,"Fiberglass multipurpose","Bateau polyvalent en polyester"
"OCAN",,"Outrigger-Canoe (Madagascar)","Tangon-Canoë (Madagascar)"
"PIRG",,"Pirogue","Pirogue"
"PLAW",,"Asian type wooden baitboat","Canneur en bois type asiatique"
"PLES",,"European type steel baitboat","Canneur en acier type européen"
"PSAS",,"Asian type industrial purse seiner","Senneur industriel type asiatique"
"PSEU",,"European type industrial purse seiner","Senneur industriel type européen"
"PSFG",,"Fiberglass coastal purse seiner (small pelagics)","Senneur côtier en polyester (petits pélagiques)"
"PSUS",,"American type industrial purse seiner","Senneur industriel type américain"
"PSWD",,"Wooden coastal purse seiner (small pelagics)","Senneur côtier en bois (petits pélagiques)"
"RWBO",,"Rowboat","Bateau à rames"
"SCHO",,"Seychelles Schooner","Schooner seychellois"
"SHAS",,"Yemeni Shasha","Shasha yéménite"
"SPOR",,"Sport boat","Bateau sportif"
"SUPP",,"Supply vessel industrial purse seine","Bateau auxiliaire senneurs industriels"
"TRSF",,"Fiberglass stern trawler","Chalutier pêche arrière en polyester"
"TRSS",,"Steel stern trawler","Chalutier pêche arrière en acier"
"TRSW",,"Wooden stern trawler","Chalutier pêche arrière en bois"
"UNKN",,"Unknown","Inconnu"
"VADH",,"Maldivian Vadhu","Vadhu maldivien"
"VEDT",,"Vedette (Reunion, Comoros)","Vedette (Réunion, Comores)"
"WHAL",,"Seychelles Whaler","Whaler seychellois"
