"code","uri","dataset_code","label_en","label_fr"
"CEEL",,"CE","Catch and effort data monitored through electronic means (e.g., video system, etc.)","Prises et efforts suivis par des moyens électroniques (systèmes vidéo, etc.)"
"CELG",,"CE","Catch and effort data derived from logbooks completed onboard by the captain/fishing master of the ship (detailed data)","Prises et efforts saisis à bord sur les fiches de pêche par le capitaine ou le patron de pêche (données détaillées)"
"CEOB",,"CE","Catch and effort data collected by scientific observers","Prises et efforts recueillis par des observateurs scientifiques"
"CERS",,"CE","Catch and effort data collected at the landing place by staff from research institutions (sampling survey or total enumeration)","Prises et efforts recueillis sur les sites de débarquement par du personnel d’institutions de recherche (échantillonnages ou dénombrement total)"
"CETR",,"CE","Catch and effort derived from interviews completed at the end of each trip by the captain / fishing master of the ship (aggregated data)","Prises et efforts provenant d’entretiens réalisés à la fin de chaque marée avec le capitaine ou le patron de pêche (données agrégées)"
"CEUN",,"CE","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"DIEL",,"DI","Discard levels monitored through electronic means (e.g., video system, etc.)","Niveaux de rejets estimés par des moyens électroniques (systèmes vidéo, etc.)"
"DILG",,"DI","Discard levels monitored by the vessel skipper / fishing master (logbook)","Niveaux de rejets estimés par le capitaine du navire ou le patron de pêche (fiches de pêche)"
"DIOB",,"DI","Discard levels monitored by scientific observers","Niveaux de rejets estimés par des observateurs scientifiques"
"DITR",,"DI","Discard levels derived from interviews completed at the end of each trip by the captain / fishing master of the ship (aggregated data)","Niveaux de rejets provenant d’entretiens réalisés à la fin de chaque marée avec le capitaine ou le patron de pêche (données agrégées)"
"DIUN",,"DI","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"FAEL",,"FA","Catch and effort data monitored through electronic means (e.g., video system, etc.)","Prises et efforts suivis par des moyens électroniques (systèmes vidéo, etc.)"
"FALG",,"FA","Catch and effort data derived from logbooks completed onboard by the captain/fishing master of the ship (detailed data)","Prises et efforts saisis à bord sur les fiches de pêche par le capitaine ou le patron de pêche (données détaillées)"
"FAOB",,"FA","Catch and effort data collected by scientific observers","Prises et efforts recueillis par des observateurs scientifiques"
"FARS",,"FA","Catch and effort data collected at the landing place by staff from research institutions (sampling survey or total enumeration)","Prises et efforts recueillis sur les sites de débarquement par du personnel d’institutions de recherche (échantillonnages ou dénombrement total)"
"FATR",,"FA","Catch and effort data derived from interviews completed at the end of each trip by the captain / fishing master of the ship (aggregated data)","Prises et efforts provenant d’entretiens réalisés à la fin de chaque marée avec le capitaine ou le patron de pêche (données agrégées)"
"FAUN",,"FA","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"FCGV",,"FC","Number of crafts actually operated monitored by Port Authorities or other government offices (compliance data)","Nombre de navires effectivement actifs relevé par les autorités portuaires ou d’autres services gouvernementaux (données d’application)"
"FCRG",,"FC","Number of crafts registered at the Ministry of Fisheries or other government institutions (Ministry of Transportation, etc.)","Nombre de navires enregistrés auprès du Ministère des pêches ou de toute autre institution gouvernementale (Ministère des transports, etc.)"
"FCRS",,"FC","Number of crafts actually operated monitored at the landing place by staff from research institutions (research data)","Nombre de navires effectivement actifs relevé sur les sites de débarquement par du personnel d’institutions de recherche (données scientifiques)"
"FCUN",,"FC","Unknown","Inconnu"
"FPUN",,"PR","Unknown","Inconnu"
"RCA1",,"RC","Amounts unloaded / transshipped monitored by the fishing industry and by staff from research institutions","Quantités débarquées/transbordées suivies par l’industrie de la pêche et par du personnel d’instituts de recherche"
"RCCS",,"RC","Amounts unloaded / transshipped monitored by The Customs","Quantités débarquées/transbordées observées par les Douanes"
"RCLG",,"RC","Amounts as recorded in the vessel fishing logbook","Quantités comme enregistrées dans le livre de pêche"
"RCOB",,"RC","Amounts unloaded / transshipped monitored by observers (compliance data)","Quantités débarquées/transbordées observées par des observateurs (données d’application)"
"RCPA",,"RC","Amounts unloaded / transshipped monitored by Port Authorities or other government offices (compliance data)","Quantités débarquées/transbordées observées par les autorités portuaires (échantillonnages ou dénombrement total)"
"RCPR",,"RC","Amounts unloaded / transshipped monitored by the fishing industry (e.g.. fishing vessel, canning factory, stevedores, auction hall, processing plants, etc.)","Quantités débarquées/transbordées observées par l’industrie de la pêche (navires de pêche, conserveries, dockers, criées, usines de transformation, etc.)"
"RCRS",,"RC","Amounts unloaded / transshipped monitored by staff from research institutions (sampling survey or total enumeration)","Quantités débarquées/transbordées observées par du personnel d’institutions de recherche (échantillonnages ou dénombrement total)"
"RCUN",,"RC","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"SFEL",,"SF","Individual fish lengths /weights monitored through electronic means (e.g., video system, etc.)","Longueurs/poids individuels relevés par des moyens électroniques (systèmes vidéo, etc.)"
"SFLG",,"SF","Individual fish lengths /weights monitored by fishermen during the fishing trip (recorded in a logbook)","Longueurs/poids individuels relevés par les pêcheurs durant la marée (fiches de pêche)"
"SFOB",,"SF","Individual fish lengths /weights monitored by scientific observers during the fishing trip","Longueurs/poids individuels relevés par des observateurs scientifiques durant la marée"
"SFPR",,"SF","Individual fish lengths /weights monitored at the end of the trip by the fishing industry (e.g., fishing vessel, canning factory, stevedores, auction hall, processing plants, etc.)","Longueurs/poids individuels relevés à la fin de la marée par l’industrie de la pêche (navires de pêche, conserveries, dockers, criées, usines de transformation, etc.)"
"SFRS",,"SF","Individual fish lengths /weights monitored at the landing place by staff from research institutions","Longueurs/poids individuels relevés sur les sites de débarquement par du personnel d’institutions de recherche"
"SFUN",,"SF","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
