"code","uri","label_en","label_fr"
"UNCL",,"Unclassified","Non classifié"
"BOATS",,"Number of boats","Nombre de bateaux"
"DAYS",,"Number of days at sea","Nombre de jours en mer"
"FDAYS",,"Number of fishing days","Nombre de jours de pêche"
"FHOURS",,"Number of hours fishing","Nombre d’heures de pêche"
"HAUL",,"Number of hauls","Nombre de virages"
"HOOKS",,"Number of hooks","Nombre d’hameçons"
"HOURS",,"Number of hours at sea","Nombre d’heures de mer"
"HRSRH",,"Number of hours searching","Nombre d’heures de recherche"
"LH",,"Line-hours","Nombre d’heures de pêche accumulées pour les lignes déployées"
"LINES",,"Number of lines (poles)","Nombre de cannes"
"MD",,"Men-days","Nombre de jours de pêche accumulés pour l'équipage"
"MH",,"Man-hours","Nombre d'heures de pêche accumulées pour l'équipage"
"NETS",,"Net-days","Nombre de jours de pêche accumulés pour les filets déployés"
"SDAYS",,"Number of searching days","Nombre de jours de recherche"
"SETS",,"Number of sets","Nombre de calées (opérations de pêche)"
"STDHR",,"Number of hours fishing standardized","Nombre d’heures de pêche standardisé"
"TRIPS",,"Number of trips","Nombre de marées"
