"code","uri","dataset_code","label_en","label_fr"
"DDL",,"DI","Discarded - too difficult to land","Rejeté - trop difficile d'embarquer"
"DDM",,"DI","Discarded - depredated by mammals","Rejeté - déprédation par des mammifères marins"
"DDS",,"DI","Discarded - depredated by sharks","Rejeté - déprédation par des requins"
"DFL",,"DI","Discarded - vessel fully loaded","Rejeté - navire entiérement chargé"
"DFR",,"DI","Discarded - trunk discarded, fins retained (shark only)","Rejeté - carcasse rejeté - ailerons conservés à bord"
"DPQ",,"DI","Discarded - unfit for human consumption","Rejeté - impropres à la consommation humaine"
"DRB",,"DI","Discarded - retention ban on the species (flag state measures)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de l'État du pavillon)"
"DTR",,"DI","Discarded - trunk retained, fins discarded (shark only)","Ailerons jetés - tronc conservé (requin seulement)"
"DTS",,"DI","Discarded - too small. Fish of no commercial value due to being of small size","Rejeté - trop petit. Poisson sans valeur commerciale en raison de sa petite taille"
"DUD",,"DI","Discarded - retention ban on the species (IOTC)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de la CTOI)"
"DUN",,"DI","Discarded - unspecified reason","Rejeté - raison inconnue"
"DUS",,"DI","Discarded - unwanted species (e.g. with no commercial value or other than target species)","Rejeté - espèces indésirables (par exemple sans valeur commerciale ou autres que les espèces cibles)"
"ESC",,"DI","Escaped","Échappé"
"RCC",,"RC","Retained - crew consumption","Conservé à bord - consommation de l'équipage"
"RFB",,"RC","Retained - used as bait","Conservé à bord – utilisé comme appât"
"RFL",,"RC","Retained - for landing / sale","Conservé à bord - pour être débarqué / vendue"
"RFR",,"RC","Retained - trunk and fins retained (shark only)","Tronc retenu - ailerons retenus (requin seulement)"
"RFT",,"RC","Retained - at-sea-transhipment","Conservé à bord - pour transbordement en mer"
