"code","uri","cpc_code","label_en","label_fr"
"AUS",,"AUS","Australia","Australie"
"BGD",,"BGD","Bangladesh","Bangladesh"
"CHN",,"CHN","China","Chine"
"TWN",,"CHN","Taiwan,China","Taiwan,Chine"
"COM",,"COM","Comoros","Comores"
"EUESP",,"EU","EU (Spain)","UE (Espagne)"
"EUFRA",,"EU","EU (France)","UE (France)"
"EUITA",,"EU","EU (Italy)","UE (Italie)"
"EUPRT",,"EU","EU (Portugal)","UE (Portugal)"
"EUREU",,"EU","EU (France,Réunion)","UE (France,Réunion)"
"EUMYT",,"EU","EU (France,Mayotte)","UE (France,Mayotte"
"EUGBR",,"EU","EU (United Kingdom)","UE (Royaume Uni)"
"EUBGR",,"EU","EU (Bulgaria)","UE (Bulgarie)"
"EUDEU",,"EU","EU (Germany)","UE (Allemagne)"
"FRAT",,"FRAT","France (OT)","France (Territoires)"
"IND",,"IND","India","Inde"
"IDN",,"IDN","Indonesia","Indonésie"
"IRN",,"IRN","I.R. Iran","République Islamique d'Iran"
"JPN",,"JPN","Japan","Japon"
"KEN",,"KEN","Kenya","Kenya"
"KOR",,"KOR","Republic of Korea","République de Corée"
"MDG",,"MDG","Madagascar","Madagascar"
"MYS",,"MYS","Malaysia","Malaisie"
"MDV",,"MDV","Maldives","Maldives"
"MUS",,"MUS","Mauritius","Maurice"
"MOZ",,"MOZ","Mozambique","Mozambique"
"OMN",,"OMN","Sultanate of Oman","Sultanat d'Oman"
"PAK",,"PAK","Pakistan","Pakistan"
"PHL",,"PHL","Philippines","Philippines"
"SYC",,"SYC","Seychelles","Seychelles"
"LKA",,"LKA","Sri Lanka","Sri Lanka"
"ZAF",,"ZAF","South Africa","Afrique du Sud"
"TZA",,"TZA","United republic of Tanzania","République Unie de Tanzanie"
"THA",,"THA","Thailand","Thaïlande"
"GBR",,"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord"
"GBRT",,"GBRT","United Kingdom (OT)","Royaume Uni (territoires d'outre mer)"
"YEM",,"YEM","Yemen","Yémen"
"ERI",,"ERI","Eritrea","Érythrée"
"SOM",,"SOM","Somalia","Somalie"
"SDN",,"SDN","Sudan","Soudan"
"BHR",,"BHR","Bahrain","Bahreïn"
"BLZ",,"BLZ","Belize","Belize"
"DJI",,"DJI","Djibouti","Djibouti"
"TMP",,"TMP","Timor Leste","Timor Leste"
"EGY",,"EGY","Egypt","Égypte"
"GIN",,"GIN","Guinea","Guinée"
"ISR",,"ISR","Israel","Israël"
"JOR",,"JOR","Jordan","Jordanie"
"KWT",,"KWT","Kuwait","Koweït"
"MMR",,"MMR","Myanmar","Myanmar"
"QAT",,"QAT","Qatar","Qatar"
"SAU",,"SAU","Saudi Arabia","Arabie saoudite"
"SEN",,"SEN","Senegal","Sénégal"
"SUN",,"SUN","Soviet Union","Union Soviétique"
"ARE",,"ARE","United Arab Emirates","Émirats arabes unis"
"VUT",,"VUT","Vanuatu","Vanuatu"
"NEIDN",,"NEIDN","NEI (Indonesia EEZ)","NCA (Indonésie ZEE)"
"NEISU",,"NEISU","NEI (ex-Soviet Union)","NCA (ex-Union soviétique)"
"NEICE",,"NEICE","NEI (fresh)","NCA (frais)"
"NEIFR",,"NEIFR","NEI (frozen)","NCA (congelé)"
"NEIPS",,"NEIPS","NEI (other)","NCA (autres)"
