"code","uri","label_en","label_fr","is_aggregate"
"BB",,"Baitboat","Canne",0
"BB",,"Baitboat","Canne",1
"GILL",,"Gillnet","Filet maillant",1
"GILL",,"Gillnet","Filet maillant",0
"HAND",,"Line","Lignes",0
"LINE",,"Line","Lignes",0
"LINE",,"Line","Lignes",1
"LL",,"Longline","Palangre",0
"LL",,"Longline","Palangre",1
"OTHER",,"Other","Autres",0
"OTHER",,"Other","Autres",1
"PS",,"Purse Seine","Senne tournante",0
"PSS",,"Purse Seine","Senne tournante",0
"SUPP",,"Purse Seine","Senne tournante",0
"TROL",,"Line","Lignes",0
