"code","uri","label_en","label_fr"
"BB",,"Baitboat","Canne"
"BBM",,"Baitboat mechanized","Canne motorisée"
"BBN",,"Baitboat non-mechanized","Canne non motorisée"
"BBOF",,"Baitboat (offshore)","Canne (hauturière)"
"BBPS",,"Baitboat and purse seine","Canne et senne tournante"
"BS",,"Beach seine","Senne de plage"
"CN",,"Cast net","Épervier"
"DDSEI",,"Demersal Danish seine","Senne danoise démersaux"
"DGN",,"Driftnet","Filet dérivant"
"DL",,"Dropline (vertical handline)","Ligne à main verticale"
"DSEI",,"Danish seine","Senne danoise"
"ELL",,"Longline targeting swordfish","Palangre à espadon"
"ELLOB",,"Longline targeting swordfish with observer","Palangre à espadon avec observateur"
"FLL",,"Longline fresh","Palangre fraiche"
"FN",,"Fish net","Filet de pêche"
"G/L",,"Gillnet and longline combination","Filet maillant et palangre"
"GHLI",,"Gillnet and line and liftnet","Filet maillant et ligne et carrelet"
"GIHA",,"Gillnet and handline","Filet maillant et ligne à main"
"GIHT",,"Gillnet and handline and troll line","Filet maillant et ligne à main et ligne de traîne"
"GILL",,"Gillnet","Filet maillant"
"GIOF",,"Offshore gillnet","Filet maillant pêche hauturière"
"GL",,"Gillnet operated attached to a longline","Filet maillant operé en combinaison avec palangre"
"HABBM",,"Handline and pole and line mechanized","Ligne à main et canne motorisée"
"HABBN",,"Handline and pole and line non-mechanized","Ligne à main et canne non-motorisée"
"HABBTR",,"Handline, pole and line and troll line","Ligne à main et ligne de traîne"
"HAND",,"Handline","Ligne à main"
"HANP",,"Handline with payao","Ligne à main avec payao"
"HARP",,"Harpoon","Harpon"
"HATR",,"Hand line and troll line","Ligne à main et ligne de traîne"
"HLOF",,"Hand line (offshore)","Ligne à main (hauturière)"
"HOOK",,"Hook and line","Ligne et hameçon"
"LG",,"Longline operated attached to gillnet","Palangre opérée en combinaison avec filet maillant"
"LIFT",,"Liftnet","Carrelet"
"LIGB",,"Gillnet and lines and baitboat and coastal seines","Filet maillant et canne et lignes et senne côtière"
"LL",,"Longline","Palangre dérivante au-dessus de 1800 hameçons"
"LLCO",,"Coastal longline","Petite palangre"
"LLEX",,"Exploratory longline","Palangre de prospection"
"LLF",,"Set longline","Palangre calée"
"LLHA",,"Longline and Handline combination","Palangre et ligne à main"
"LLOB",,"Longline with observer","Palangrier avec observateur"
"LLTR",,"Coastal Longline and Troll line combination","Palangre côtière et ligne de traîne"
"OTHER",,"Other artisanal gears","Autres engins artisanaux"
"PS",,"Purse seine","Senne tournante aux thons"
"PSFS",,"Purse seine on free-schools","Senne tournante sur banc libres de thons"
"PSLS",,"Purse seine on log-schools","Senne tournante thons sur bancs de thons associés à des objets flottants dérivants"
"PSOB",,"Purse with observer","Senne tournante avec observateur"
"PSP",,"Purse seine with payao","Senne tournante sur payao"
"PSS",,"Small purse seine","Petite senne côtière"
"RIN",,"Ring net","Lampara"
"RINP",,"Ring net with payao","Lampara sur payao"
"RNOF",,"Ring net (offshore)","Lampara (hauturière)"
"RR",,"Rod and Reel","Canne à moulinet"
"RRBB",,"Rod and reel and pole and line","Canne à moulinet et canne"
"SBG",,"Set bag net","Filets à l'étalage (diables)"
"SLL",,"Longline targeting sharks","Palangre ciblant les requins"
"SPOR",,"Sport fishing","Pêche sportive"
"SUPP",,"Supply vessel","Bateau auxiliaire"
"TRAP",,"Trap","Madrague"
"TRAW",,"Trawl","Chalut"
"TROL",,"Troll line","Ligne de traîne"
"TROLM",,"Trolling mechanized","Ligne de traîne motorisée"
"TROLN",,"Trolling non-mechanized","Ligne de traîne non motorisée"
"TROT",,"Trotline","Ligne de fond ancrée"
"TWLHT",,"Trawl and Hooks and Line","Chalut et ligne de traîne"
"UNCL",,"Unclassified","Non classé"
