"code","uri","label_en","label_fr"
"BHG",,"Body height",""
"CF",,"Cleithrum to caudal fork length",""
"CKL",,"Cleithrum-keel length",""
"CKUT",,"Cleithrum-keel length (unconverted tape m lengths)",""
"CL",,"CL-Carapace length (turtles) (curved length)",""
"DML",,"Dorsal mantle length (squid)",""
"EFL",,"Eye-Fork Length",""
"EFUT",,"Eye-Fork Length (unconverted tape measure lengths)",""
"FL",,"Fork length (lower jaw fork length for BIL)",""
"FLB",,"Fork length (by using a Board)",""
"FLC",,"Fork length (converted from weight/length)",""
"FLCT",,"Fork length (converted tape measure lengths)",""
"FLUT",,"Fork length (unconverted tape measure lengths)",""
"GGT",,"Gilled and gutted (bill is off for billfish)",""
"GIL",,"Gilled weight",""
"HDD",,"Headed and gutted weight",""
"HDL",,"Head length",""
"LDF",,"First dorsal fin-fork length",""
"LDFT",,"First dorsal fin-fork length(Tape measure length)",""
"MLD",,"Length  tip of mouth to base of first dorsal fin",""
"PAL",,"Pectoral-anal length (by using a calliper)",""
"PALT",,"Pectoral-anal length (by using a tape measure)",""
"PCL",,"Pectoral-caudal(fork) length",""
"PCLT",,"Pectoral-fork length (unconverted tape length)",""
"PDUL",,"Pectoral-dorsal length (unconverted tape length)",""
"PPD",,"Headed and peduncle-off",""
"RND",,"Round Weight",""
"TAL",,"Tailed weight",""
"TL",,"Total length",""
"TW",,"Disc width",""
"UNCL",,"Unknown",""
"WE",,"Eviscerated weight",""
"WR",,"Round weight",""
