"code","uri","label_en","label_fr","scientific_name","species_group_code","is_iotc","is_aggregate"
"ABL",,"Attentive carplet","A","Amblypharyngodon melettinus","NTAD",0,0
"AG01",,"Black marlin and striped marlin","Makaire noir et Marlin rayé","Makaira nigricans; Tetrapturus audax","BILL",1,1
"AG02",,"Indo-Pacific sailfish and shortbill spearfish","Voilier indo-pacifique et makaire à rostre court","Istiophorus platypterus; Tetrapturus angustirostris","BILL",1,1
"AG03",,"Marlins nei","Marlin rayé et makaires nca","Tetrapturus audax; Makaira spp.","BILL",1,1
"AG04",,"Marlins, sailfish, spearfish nei","Makaires et marlins et voiliers nca","Istiophoridae","BILL",1,1
"AG05",,"Frigate tuna and bullet tuna","Auxide et bonitou","Auxis spp.","TUN",1,1
"AG06",,"Kawakawa, frigate and bullet tunas","Thonine orientale, auxide et bonitou","Euthynnus affinis; Auxis spp.","TUN",1,1
"AG07",,"Longtail tuna and kawakawa","Thon mignon et thonine orientale","Thunnus tonggol; Euthynnus affinis","TUN",1,1
"AG13",,"Tuna nei","Thonidés nca","Thunnini","TUN",0,1
"AG14",,"Billfish nei","Poissons epée nca","Xiphioidei","BILL",1,1
"AG17",,"Mako sharks","Taupes","Isurus spp","MAK",0,1
"AG20",,"Sharks mackerel, porbeagles nei","Requins taupe nca","Lamnidae","SKH",0,1
"AG22",,"Sharks various nei","Requins divers nca","Selachimorpha (Pleurotremata)","SKH",0,1
"AG27",,"OTHER SPECIES","AUTRES ESPECES","A","NTAD",0,1
"AG29",,"Snappers, jobfishes nei","Lutianidés nca","Lutjanidae","NTAD",0,1
"AG34",,"Yellowfin tuna and bigeye tuna","Albacore et patudo","Thunnus albacares; Thunnus obesus","TUN",1,1
"AG35",,"Yellowfin tuna and skipjack tuna","Albacore et Listao","Thunnus albacares; Katsuwonus pelamis","TUN",1,1
"AG38",,"Blue shark, shortfin mako, oceanic whitetip shark","Peau bleue, Taupe bleue et Requin océanique","Prionace glauca; Isurus oxyrinchus; Carcharhinus longimanus","RSK",0,1
"AG41",,"Blue marlin and black marlin","Makaire noir et Makaire bleu","Makaira spp.","BILL",1,1
"AG45",,"Albacore, yellowfin tuna and bigeye tuna","AG45-Germon; Albacore; Patudo; Thon obèse","Thunnus alalunga; Thunnus albacares; Thunnus obesus","TUN",1,1
"AG46",,"Rainbow runner and mackerels","Comète saumon et maquereau","Elagatis bipinnulata, Scombridae","NTAD",0,1
"AG47",,"Common dolphinfish and rainbow runner","Coryphène commune et Comète saumon","Elagatis bipinnulata, Coryphaena hippurus","NTAD",0,1
"AG48",,"Mackerels nei","Maquereaux nca","Scombridae","NTAD",0,0
"AG60",,"Other bony fish nei","Poissons non du type thon nca","O","NTAD",0,1
"AGN",,"Angel shark","r","R","RSK",0,0
"ALB",,"Albacore","Germon","Thunnus alalunga","ALB",1,0
"ALI",,"Lancetfishes nei","Lanciers","Alepisaurus spp","NTAD",0,0
"ALM",,"Unicorn leatherjacket filefish","U","Aluterus monoceros","NTAD",0,0
"ALN",,"Scribbled leatherjacket filefi","Bourse écriture","Aluterus scriptus","NTAD",0,0
"ALO",,"Short snouted lancetfish","Short snouted lancetfish","Alepisaurus brevirostris","NTAD",0,0
"ALS",,"Silvertip shark","Requin pointe blanche","Carcharhinus albimarginatus","RSK",0,0
"ALT",,"Leatherjacket filefishes","A","Aluterus spp","NTAD",0,0
"ALV",,"Thresher Shark","Renard","Alopias vulpinus","ALV",0,0
"ALX",,"Long snouted lancetfish","Long snouted lancetfish","Alepisaurus ferox","NTAD",0,0
"AMB",,"Greater amberjack","Sériole couronnée","Seriola dumerili","NTAD",0,0
"AML",,"Grey Reef Shark","Requin dagsit","Carcharhinus amblyrhynchos","RSK",0,0
"AMX",,"Amberjacks nei","Sérioles nca","Seriola spp","NTAD",0,1
"ANX",,"Anchovies, etc. nei","Anchois, etc. nca","Engraulidae","NTAD",0,0
"ASM",,"Australia Spotted Mackerel","Thazard Australien","Scomberomorus munroi","NTAD",0,0
"ASZ",,"Razorback scabbardfish","Poisson-sabre rasoir","Assurger anzac","NTAD",0,0
"AVR",,"Green jobfish","Vivaneau job","Aprion virescens","NTAD",0,0
"AYBT",,"Albacore, yellowfin and bigeye tunas","Germon ;Albacore; Thon obèse","thunnus spp","TUN",1,1
"BAB",,"Blackfin barracuda","B","Sphyraena qenie","NTAD",0,0
"BAF",,"Flat needlefish","Orphie plate","Ablennes hians","NTAD",0,0
"BAO",,"Longfin batfish","B","Platax teira","NTAD",0,0
"BAR",,"Barracudas","Brochets de mer","Sphyraena spp","NTAD",0,0
"BAT",,"Batfishes","Poules d'eau","Platax spp","NTAD",0,0
"BAU",,"Australian bonito","Bonite bagnard","Sarda australis","NTAD",0,0
"BBM",,"Broad-barred King Mackerel","Thazard sp","Scomberomorus semifasciatus","NTAD",0,0
"BDL",,"Elongate frostfish","Poisson-sabre long","Benthodesmus elongatus","NTAD",0,0
"BEN",,"Needlefishes, etc. nei","Aiguilles, orphies nca","Belonidae","NTAD",0,0
"BET",,"Bigeye tuna","Patudo; Thon obèse","Thunnus obesus","BET",1,0
